doi	title	publisher	publicationYear
10.1594/pangaea.946304	Seawater carbonate chemistry and mass fluxes and elemental composition of particulate export in KOSMOS mesocosm experiments (2010-2014)	PANGAEA	2022
10.1594/pangaea.950069	Abundance, migrant biomass and carbon flux data of micronekton (fishes and crustaceans) from CAPEGOLCA cruises (June-October 2018) in the Gulf of California	PANGAEA	2022
10.1594/pangaea.942679	Nano- and microplankton in the northern Patagonian shelf (SW South Atlantic) during austral spring and summer	PANGAEA	2022
10.1594/pangaea.949975	Physical oceanography during RV El Puma CAPEGOLCA cruises (June-October 2018) to the Gulf of California	PANGAEA	2022
10.1594/pangaea.941165	Eddy kinetic energy in the Arctic Ocean from moored velocity observations	PANGAEA	2022
10.1594/pangaea.942289	Responses of a natural phytoplankton community from the Drake Passage to two predicted climate change scenarios	PANGAEA	2022
10.1594/pangaea.942295	Nitrate and silicate responses of a natural phytoplankton community from the Drake Passage to different climate change scenarios	PANGAEA	2022
10.5255/ukda-sn-8688-3	English Longitudinal Study of Ageing COVID-19 Study, Waves 1-2, 2020	UK Data Service	2022
10.16907/7b8bd7d7-d897-4ff6-9cf4-e8335a6e4133	Chiral phonons probed by X rays  	PSI	2022
10.16907/0f88c41a-1f25-41ad-8f28-a718c9862086	Conical spin order with chiral quadrupole helix in CsCuCl3	PSI	2022
10.16907/24ee1f7e-f047-4973-95bf-656943d63774	MIXE 2018 Fe/Ti/Cu sandwich sample raw data	PSI LMU	2022
10.26037/yareta:l7rgbesfffacfdyeamggm6snva	Dataset Tunable biaxial strain device for low dimensional materials	Université de Genève, Yareta	2022
10.26037/yareta:zhoycayfyfgxbgqss6sivv5h3a	Alveolar Ventilation during Simulated Pediatric Cardiac Arrest - Dataset	Université de Genève, Yareta	2022
10.26037/yareta:tilf3ibfnrafjpj6xpnea3vhpm	Enhanced Vegetation Index (EVI) - Switzerland [2019, Sentinel-2]	Université de Genève, Yareta	2022
10.26037/yareta:of5ddowrxvbtjjurioduueopey	Enhanced Vegetation Index (EVI) - Switzerland [2020, Sentinel-2]	Université de Genève, Yareta	2022
10.26037/yareta:hgw56omleveiplgftnd5ugwpja	Enhanced Vegetation Index (EVI) - Switzerland [2021, Sentinel-2]	Université de Genève, Yareta	2022
10.26037/yareta:hapbjzl6dvbwnb5modewqozbfm	Enhanced Vegetation Index (EVI) - Switzerland [2018, Sentinel-2]	Université de Genève, Yareta	2022
10.26037/yareta:naegejqvxzfwliu236pxn5lus4	Geneva University Hospitals Common Problem List	Université de Genève, Yareta	2022
10.15468/ailaua	QLD DERM Coastal Bird Atlas (Trial)	Queensland Department of the Environment, Tourism, Science and Innovation	2022
10.15468/pljute	Historical Bird Atlas	BirdLife Australia	2022
10.15468/f6tipo	First Bird Atlas	BirdLife Australia	2022
10.15468/kfkspo	New South Wales Bird Atlassers	NSW Bird Atlassers	2022
10.5255/ukda-sn-7553-11	National Travel Survey, 2002-2021: Special Licence Access	UK Data Service	2022
10.5255/ukda-sn-9026-1	European Working Conditions Telephone Survey, 2021	UK Data Service	2022
10.5255/ukda-sn-5340-12	National Travel Survey, 2002-2021	UK Data Service	2022
10.5255/ukda-sn-6670-14	Understanding Society: Waves 1-13, 2009-2022 and Harmonised BHPS: Waves 1-18, 1991-2009: Special Licence Access, Census 2001 Lower Layer Super Output Areas	UK Data Service	2022
10.5255/ukda-sn-9022-1	Living Costs and Food Survey, 2020-2021	UK Data Service	2022
10.5255/ukda-sn-6614-17	Understanding Society: Waves 1-11, 2009-2020 and Harmonised BHPS: Waves 1-18, 1991-2009	UK Data Service	2022
10.5255/ukda-sn-5828-14	Households Below Average Income, 1994/95-2020/21	UK Data Service	2022
10.5255/ukda-sn-8927-2	Quarterly Labour Force Survey, November, 2021 - January, 2022	UK Data Service	2022
10.5255/ukda-sn-6721-22	Annual Population Survey, 2004-2021: Secure Access	UK Data Service	2022
10.5255/ukda-sn-8666-5	Smart Energy Research Lab Observatory Data, 2019-2021: Secure Access	UK Data Service	2022
10.5255/ukda-sn-8900-1	COVID-19: Supporting Parents, Adolescents and Children during Epidemics (Co-SPACE), 2020-2021	UK Data Service	2022
10.5255/ukda-sn-6931-13	Understanding Society: Waves 1-11, 2009-2020 and Harmonised BHPS: Waves 1-18, 1991-2009: Special Licence Access	UK Data Service	2022
10.5255/ukda-sn-5760-12	Growing Up in Scotland: Cohort 1, Sweeps 1-10, 2005-2020: Special Licence Access	UK Data Service	2022
10.5255/ukda-sn-6614-16	Understanding Society: Waves 1-11, 2009-2020 and Harmonised BHPS: Waves 1-18, 1991-2009	UK Data Service	2022
