doi	title	publisher	publicationYear
10.25505/fiz.icsd.cc2hx6tg	CSD 2321026: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2024
10.25505/fiz.icsd.cc2hx6sf	CSD 2321025: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2024
10.25505/fiz.icsd.cc2hx6qc	CSD 2321023: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2024
10.25505/fiz.icsd.cc2hx6rd	CSD 2321024: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2024
10.6084/m9.figshare.27099132.v1	Sex differences in state level prevalence of alcohol use among Black women and men in the United States	Taylor & Francis	2024
10.6084/m9.figshare.26674586.v1	Additional file 6 of Geomagnetic paleointensity dating of mid-ocean ridge basalts from the neo-volcanic zone of the Central Indian Ridge	figshare	2024
10.6084/m9.figshare.26674583	Additional file 5 of Geomagnetic paleointensity dating of mid-ocean ridge basalts from the neo-volcanic zone of the Central Indian Ridge	figshare	2024
10.6084/m9.figshare.26674580	Additional file 4 of Geomagnetic paleointensity dating of mid-ocean ridge basalts from the neo-volcanic zone of the Central Indian Ridge	figshare	2024
10.6084/m9.figshare.26674577.v1	Additional file 3 of Geomagnetic paleointensity dating of mid-ocean ridge basalts from the neo-volcanic zone of the Central Indian Ridge	figshare	2024
10.6084/m9.figshare.26674583.v1	Additional file 5 of Geomagnetic paleointensity dating of mid-ocean ridge basalts from the neo-volcanic zone of the Central Indian Ridge	figshare	2024
10.6084/m9.figshare.26674574	Additional file 2 of Geomagnetic paleointensity dating of mid-ocean ridge basalts from the neo-volcanic zone of the Central Indian Ridge	figshare	2024
10.6084/m9.figshare.26674574.v1	Additional file 2 of Geomagnetic paleointensity dating of mid-ocean ridge basalts from the neo-volcanic zone of the Central Indian Ridge	figshare	2024
10.6084/m9.figshare.26674577	Additional file 3 of Geomagnetic paleointensity dating of mid-ocean ridge basalts from the neo-volcanic zone of the Central Indian Ridge	figshare	2024
10.7910/dvn/0xwedr	Monitoring of Performance of Russian Higher Education Organizations 2015–2025	Harvard Dataverse	2024
10.5255/ukda-sn-9026-3	European Working Conditions Telephone Survey, 2021	UK Data Service	2024
