doi	title	publisher	publicationYear
10.1594/pangaea.931003	brGDGT distributions and environmental parameters of lake sediments from the Eastern Canadian Arctic and Iceland, 2003-2019	PANGAEA	2021
10.1594/pangaea.939445	Oxygen-18 isotope ratios from the EPICA Dome C ice core at 11 cm resolution	PANGAEA	2021
10.1594/pangaea.933271	High-resolution sulfur isotopic composition measurements of volcanic sulfate from Toba candidate eruptions preserved in EDML and EDC Antarctic ice cores	PANGAEA	2021
10.1594/pangaea.933132	Harmonized chronologies of a global late Quaternary pollen dataset (LegacyAge 1.0)	PANGAEA	2021
10.1594/pangaea.929698	Revised gas age for the Marine Isotope Stage 6 period (190-135 ka) from the EPICA Dome C ice core	PANGAEA	2021
10.1594/pangaea.929513	Atmospheric nitrogen isotopes of the Marine Isotope Stage 6 period (190-135 ka) from the EPICA Dome C ice core	PANGAEA	2021
10.26037/yareta:vleujbqehbbuvly5dm5q76v6fa	Scoping-review-quanti_Outcomes-for-type1-diabetes	Université de Genève, Yareta	2021
10.26037/yareta:ghbmndkonvd6fmsvqnvyynjnpu	Dataset - High resolution Optical Projection Tomography platform for multispectral imaging of the mouse gut	Université de Genève, Yareta	2021
10.15468/f5ay6g	Kangaroo Island Dunnart Project	Atlas of Living Australia	2021
10.15468/nsvsee	Location and transport of early life stages of West Australian Dhufish, Glaucosoma hebraicum.	CSIRO	2021
10.15468/sgd1kc	Richard Hartland - Photographs of Flora and Fungi	Atlas of Living Australia	2021
10.15468/tdalir	Ecosystem biomonitoring with eDNA: metabarcoding across the tree of life in a tropical marine environment	Atlas of Living Australia	2021
10.15468/kcnqol	DNA metabarcoding assays reveal a diverse prey assemblage for Mobula rays in the Bohol Sea, Philippines	Atlas of Living Australia	2021
10.15468/3r5qbh	Mepimbat tedul proujek: Indigenous knowledge of freshwater turtle species occurrence in the South East Arnhem Land Indigenous Protected Area	Macquarie University	2021
10.15468/7oiwzj	Records of the Wine Microorganism Culture Collection	The Australian Wine Research Institute	2021
10.15468/96nqw6	Melbourne Water Frog Census	Atlas of Living Australia	2021
10.15468/zrs4mu	North East Dung Beetle Project	Atlas of Living Australia	2021
10.15468/5bsrkm	Lizard Island Research Station	Australian Museum	2021
10.15468/yoxxna	Conservation Atlas Surveys	The University of Queensland	2021
10.15468/s1hm8r	Australian National Insect Collection	Commonwealth Scientific and Industrial Research Organisation	2021
10.15468/qtrlab	Western Australia Bird Surveys (1987-2015)	Atlas of Living Australia	2021
10.5255/ukda-sn-6727-29	Quarterly Labour Force Survey, 1992-2021: Secure Access	UK Data Service	2021
10.5255/ukda-sn-6614-15	Understanding Society: Waves 1-11, 2009-2020 and Harmonised BHPS: Waves 1-18, 1991-2009	UK Data Service	2021
10.5255/ukda-sn-6670-13	Understanding Society: Waves 1-11, 2009-2020 and Harmonised BHPS: Waves 1-18, 1991-2009: Special Licence Access, Census 2001 Lower Layer Super Output Areas	UK Data Service	2021
10.5255/ukda-sn-8872-1	Quarterly Labour Force Survey, July - September, 2021	UK Data Service	2021
10.5255/ukda-sn-8865-1	National Survey of Sexual Attitudes and Lifestyles COVID-19 Study, 2020	UK Data Service	2021
10.5255/ukda-sn-6721-20	Annual Population Survey, 2004-2021: Secure Access	UK Data Service	2021
10.5255/ukda-sn-7553-10	National Travel Survey, 2002-2020: Special Licence Access	UK Data Service	2021
10.5255/ukda-sn-5340-11	National Travel Survey, 2002-2020	UK Data Service	2021
10.5255/ukda-sn-7451-15	Annual Business Survey, 2005-2019: Secure Access	UK Data Service	2021
10.5255/ukda-sn-6849-13	Understanding Society: Innovation Panel, Waves 1-12, 2008-2019	UK Data Service	2021
10.5255/ukda-sn-5050-23	English Longitudinal Study of Ageing: Waves 0-9, 1998-2019	UK Data Service	2021
