doi	title	publisher	publicationYear
10.1594/pangaea.924469	Planktonic Foraminifera assemblages from sediment core SAT-048A	PANGAEA	2020
10.16907/05a50450-767f-421d-9832-342b57c201af	Selection of representative datasets for data compression investigations	PSI	2020
10.26037/yareta:nhslc5mgrjeclgqwzuvri6lgkq	Velocity of climate change revisited: MATCHing spatial shifts into a continuous field	Université de Genève, Yareta	2020
10.26037/yareta:kpmscrogqbdhvjeuev2ydrzk7y	Normalized Difference Vegetation Index (NDVI) - Annual Mean - Switzerland	Université de Genève, Yareta	2020
10.15468/saszmb	Elgin Road 3 year observations	Atlas of Living Australia	2020
10.15468/7z2u5g	Panboola Wetlands Mammals Survey	Atlas of Living Australia	2020
10.15468/m8zqqy	Re-examination of the reef corals of Cocos (Keeling) Atoll, Charlie Veron	Australian Institute of Marine Science	2020
10.15468/bs0bdf	Jervois and Karinga Flora	Atlas of Living Australia	2020
10.15468/ro8bpv	ACT Bioblitz Moth Survey	Atlas of Living Australia	2020
10.15468/tiih5n	Climate Change Adaptation Research Program (CCARP) Database of Watering Requirements - Images	Office of Environment & Heritage	2020
10.15468/vv31t9	Martin Butterfield Mallacoota Observations	Atlas of Living Australia	2020
10.15468/lkjjt3	Wairambar Rainforest Species List	Atlas of Living Australia	2020
10.15468/gvrgkb	Quoll sightings register for Nth QLD	Atlas of Living Australia	2020
10.15468/dul9fo	Flora of Westgate Park - Photos from Lyn Allison	Atlas of Living Australia	2020
10.15468/elgwwi	The Living Murray Fish data	Murray-Darling Basin Authority	2020
10.15468/qscvrr	Images of Flora and Fauna of 290 Leppitt Rd, Upper Beaconsfield	Atlas of Living Australia	2020
10.15468/liglpo	Species at 290 Leppitt Road, Upper Beaconsfield	Atlas of Living Australia	2020
10.15468/lrxdte	Hermatypic Corals of Western Australia	Australian Institute of Marine Science	2020
10.15468/ov7nfr	Barrow Island Ants	Chevron Australia	2020
10.15468/2bg7zv	Panboola Wetlands Bird Surveys	Atlas of Living Australia	2020
10.15468/wva3lh	School of Ants	University of New England	2020
10.15468/1nwdvk	Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron	Australian Institute of Marine Science	2020
10.15468/kinrrl	Records of the Australian National Botanic Gardens Seedbank	Australian National Botanic Gardens	2020
10.15468/zllujp	Swan Coastal Plain Survey	Western Australia, Department of Biodiversity, Conservation and Attractions	2020
10.15468/4cqg2v	NatureShare	Atlas of Living Australia	2020
10.5255/ukda-sn-8644-5	Understanding Society: COVID-19 Study, 2020	UK Data Service	2020
10.5255/ukda-sn-5050-20	English Longitudinal Study of Ageing: Waves 0-9, 1998-2019	UK Data Service	2020
10.5255/ukda-sn-8644-4	Understanding Society: COVID-19 Study, 2020	UK Data Service	2020
10.5255/ukda-sn-8682-1	Millennium Cohort Study: Seventh Survey, 2018	UK Data Service	2020
10.5255/ukda-sn-5340-10	National Travel Survey, 2002-2019	UK Data Service	2020
10.5255/ukda-sn-7553-9	National Travel Survey, 2002-2019: Special Licence Access	UK Data Service	2020
10.5255/ukda-sn-7215-12	Wealth and Assets Survey, Waves 1-5 and Rounds 5-6, 2006-2018	UK Data Service	2020
10.5255/ukda-sn-8666-1	Smart Energy Research Lab Observatory Data, 2019-2020: Secure Access	UK Data Service	2020
10.5255/ukda-sn-8663-1	Understanding Society: COVID-19 Study, 2020: Special Licence Access, Census 2011 Lower Layer Super Output Areas	UK Data Service	2020
10.5255/ukda-sn-8644-3	Understanding Society: COVID-19 Study, 2020	UK Data Service	2020
10.5255/ukda-sn-8658-1	COVID-19 Survey in Five National Longitudinal Cohort Studies: Millennium Cohort Study, Next Steps, 1970 British Cohort Study and 1958 National Child Development Study, 2020	UK Data Service	2020
10.5255/ukda-sn-8644-2	Understanding Society: COVID-19 Study, 2020	UK Data Service	2020
10.5255/ukda-sn-8378-2	Taking Part: the National Survey of Culture, Leisure and Sport, 2016-2017; Adult and Child Data	UK Data Service	2020
10.5255/ukda-sn-8644-1	Understanding Society: COVID-19 Study, 2020	UK Data Service	2020
10.5255/ukda-sn-7451-13	Annual Business Survey, 2008-2018: Secure Access	UK Data Service	2020
10.5255/ukda-sn-7363-8	European Working Conditions Survey Integrated Data File, 1991-2015	UK Data Service	2020
10.5255/ukda-sn-8631-1	Taking Part: the National Survey of Culture, Leisure and Sport, 2018-2019; Adult and Child Data	UK Data Service	2020
10.5255/ukda-sn-5828-12	Households Below Average Income, 1994/95-2018/19	UK Data Service	2020
10.5255/ukda-sn-6727-19	Quarterly Labour Force Survey, 1992-2019: Secure Access	UK Data Service	2020
10.5255/ukda-sn-6676-10	Understanding Society: Waves 1-9, 2009-2018 and Harmonised BHPS: Waves 1-18, 1991-2009: Secure Access	UK Data Service	2020
10.5255/ukda-sn-6614-13	Understanding Society: Waves 1-9, 2009-2018 and Harmonised BHPS: Waves 1-18, 1991-2009	UK Data Service	2020
10.5255/ukda-sn-8202-2	British Election Study, 2014-2023: Combined Internet Panel	UK Data Service	2020
10.5255/ukda-sn-7104-5	Next Steps: Sweeps 1-8, 2004-2016: Secure Access	UK Data Service	2020
10.5255/ukda-sn-7252-2	Crime Survey for England and Wales, 2011-2012	UK Data Service	2020
10.5255/ukda-sn-6627-2	British Crime Survey, 2009-2010	UK Data Service	2020
10.5255/ukda-sn-6937-1	British Crime Survey, 2010-2011	UK Data Service	2020
10.5255/ukda-sn-6367-1	British Crime Survey, 2008-2009	UK Data Service	2020
10.5255/ukda-sn-6066-1	British Crime Survey, 2007-2008	UK Data Service	2020
10.5255/ukda-sn-5755-1	British Crime Survey, 2006-2007	UK Data Service	2020
10.5255/ukda-sn-5543-1	British Crime Survey, 2005-2006	UK Data Service	2020
10.5255/ukda-sn-5324-1	British Crime Survey, 2003-2004	UK Data Service	2020
10.5255/ukda-sn-5347-1	British Crime Survey, 2004-2005	UK Data Service	2020
10.5255/ukda-sn-5059-1	British Crime Survey, 2002-2003	UK Data Service	2020
10.5255/ukda-sn-4787-1	British Crime Survey, 2001-2002	UK Data Service	2020
10.11582/2020.00023	Annual maximum daily precipitation for the Nordic-Baltic countries	NIRD RDA	2020
10.15472/staos7	Octocorals and antipatharians in the mesophotic rocky reefs of Colombian Pacific	Instituto de Investigaciones Marinas y Costeras - Invemar	2020
10.17612/36f2-8q45	North Sea Sandstone SEM Images	Digital Rocks Portal	2020
10.17612/4px8-6x12	Hexadecane and brine injected into Estaillades carbonate - steady-state experiment	Digital Rocks Portal	2020
10.17612/f4h1-w124	11 Sandstones: raw, filtered and segmented data	Digital Rocks Portal	2020
10.17612/3qz6-f710	Bentheimer Sandstone Two-Fluid Flow Simulation Resembling Special Core Analysis Protocol	Digital Rocks Portal	2020
10.17612/vztt-yx38	Unpaired super-resolution on micro-CT sandstone by using cycle-consistent generative adversarial network	Digital Rocks Portal	2020
10.17612/aky4-9a88	Leman Sandstone SEM Images	Digital Rocks Portal	2020
10.17612/8f3w-em15	Grayscale REV Analysis	Digital Rocks Portal	2020
10.17612/c13t-ah38	Belgian Fieldstone	Digital Rocks Portal	2020
10.17612/nhda-wz02	Doddington Sandstone	Digital Porous Media Portal	2020
10.17612/vamk-ta18	Capillary rise in vuggy porous media	Digital Rocks Portal	2020
10.17612/bvxs-bc79	Mudrock images from Nankai Trough	Digital Rocks Portal	2020
10.17612/p8fq-6y93	Bentheimer Sandstone for Analyzing Wetting Phenomena	Digital Rocks Portal	2020
10.17612/v09y-aw80	Carbonates: Porosity and permeability voxel to voxel	Digital Rocks Portal	2020
10.17612/kt0b-sz28	A large scale X-Ray micro-tomography dataset of steady-state multiphase flow	Digital Rocks Portal	2020
10.17612/hdp8-0149	Experimental 3D Velocity Field in Random Sphere Packing	Digital Rocks Portal	2020
10.15472/gwbyg8	Colección Oológica Cornelis Johannes Marinkelle CJM del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	2020
10.25919/5f688fcc97166	RV Investigator BOM Atmospheric Data Overview (2016 onwards)	CSIRO	2020
10.24381/cds.3cd8b812	Sea ice concentration from 1978 to present derived from satellite observations	ECMWF	2020
10.26143/ganil-2020-e775s	Lifetime measurements of excited states in 20O populated by direct nucleon transfer	GANIL, Large Heavy Ion National Accelerator, Caen, France	2020
10.15472/qxtu93	Hormigas (Hymenoptera: Formicidae) del Centro de Colecciones Biológicas de la Universidad del Magdalena	Universidad del Magdalena	2020
10.15472/mhq2sa	Colección Herpetológica-Museo de Historia Natural Unillanos	Universidad de los Llanos	2020
10.15472/8ahlak	Colección Ictiológica - Museo de Historia Natural Unillanos	Universidad de los Llanos	2020
10.15472/io48wl	Colección Ornitológica del Museo de Historia Natural de la Universidad de la Amazonia	Universidad de la Amazonia	2020
10.15472/ayvwnh	Colección de reptiles del Museo de Historia Natural de la Universidad de la Amazonia (UAM-R)	Universidad de la Amazonia	2020
10.15472/zpze4r	Colección de Entomología del Museo de Historia Natural de la Universidad de la Amazonia (UAM-E)	Universidad de la Amazonia	2020
10.15472/tevjuw	Colección de Anfibios del Museo de Historia Natural de la Universidad de la Amazonia (UAM-H)	Universidad de la Amazonia	2020
10.15472/tfhckv	Colección Ictiológica del Museo de Historia Natural de la Universidad de la Amazonia (UAM-P)	Universidad de la Amazonia	2020
10.16904/15	GCOS SWE data from 11 stations in Switzerland	EnviDat	2020
10.16904/slf.2	Snow and the water cycle in a changing climate	EnviDat	2020
10.15472/knkrwh	Colección de Mamíferos del Museo de Historia Natural C.J. Marinkelle	Universidad de los Andes	2020
10.5683/sp2/sjwlpk	Enquête longitudinale auprès des parents séparés et recomposés du Québec	Borealis	2020
10.26008/1912/bco-dmo.787093.1	Trichodesmium sample provenance from samples collected in North Atlantic surface waters, station BATS, and station ALOHA between 2000 and 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2020
10.26008/1912/bco-dmo.808502.1	Small particulate Polonium 210 and Lead 210 measurements from the Western Arctic Ocean, which were sampled as part of the 2015 US GEOTRACES Cruise, HLY1502 (GN01), on USCGC Healy	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2020
10.26008/1912/bco-dmo.808151.1	Dissolved and large particulate Polonium 210 and Lead 210 measurements from the Western Arctic Ocean, which were sampled as part of the 2015 US GEOTRACES Cruise, HLY1502 (GN01), on USCGC Healy	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2020
10.26008/1912/bco-dmo.807340.1	Size-fractionated major and minor particle composition and concentration from the from the US GEOTRACES Arctic cruise (HLY1502) on USCGC Healy from August to October 2015	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2020
10.26008/1912/bco-dmo.806510.1	Nitrite Oxidoreductase targeted metaproteomics from R/V Kilo Moana cruise KM1128 and R/V Falkor cruise FK160115 in the Central Pacific Ocean in 2011 and 2016	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2020
10.26008/1912/bco-dmo.787078.1	Metaproteomes of Trichodesmium from samples collected in North Atlantic surface waters, station BATS, and station ALOHA between 2000 and 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2020
10.26008/1912/bco-dmo.753837.1	Radium isotope measurements from CTD and underway water samples from the R/V Endeavor from 2018-05-06 to 2018-05-29	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2020
10.26008/1912/bco-dmo.787181.1	FASTA file of sequences in Trichodesmium field metaproteomes mapped to a Trichodesmium metagenome plus cyanoGEBA species genomes from samples collected in the Atlantic and Pacific Ocean between 2000 and 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2020
